date,area_type,area_code,area_name,metric,metric_name,value
2020-07-10,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,29.0
2020-07-10,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3.0
2020-07-11,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,5.0
2020-07-11,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,9.0
2020-07-11,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,12.0
2020-07-11,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,432.0
2020-07-12,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,351.0
2020-07-12,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,2.0
2020-07-12,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3.0
2020-07-12,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,10.0
2020-07-13,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,19.0
2020-07-13,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3.0
2020-07-13,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,694.0
2020-07-13,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,24.0
2020-07-14,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,11.0
2020-07-14,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,661.0
2020-07-14,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,10.0
2020-07-14,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,23.0
2020-07-15,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,17.0
2020-07-15,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,16.0
2020-07-15,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,726.0
2020-07-15,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,18.0
2020-07-16,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,21.0
2020-07-16,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,644.0
2020-07-16,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,22.0
2020-07-16,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,25.0
2020-07-17,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,9.0
2020-07-17,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,17.0
2020-07-17,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,8.0
2020-07-17,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,548.0
2020-07-18,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,473.0
2020-07-18,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,14.0
2020-07-18,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,11.0
2020-07-18,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,7.0
2020-07-19,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,10.0
2020-07-19,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2.0
2020-07-19,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,17.0
2020-07-19,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,419.0
2020-07-20,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,769.0
2020-07-20,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,14.0
2020-07-20,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,43.0
2020-07-20,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4.0
2020-07-21,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,19.0
2020-07-21,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,11.0
2020-07-21,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,697.0
2020-07-21,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,61.0
2020-07-22,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,764.0
2020-07-22,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,18.0
2020-07-22,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,9.0
2020-07-22,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,25.0
2020-07-23,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,13.0
2020-07-23,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,31.0
2020-07-23,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,741.0
2020-07-23,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,23.0
2020-07-24,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,30.0
2020-07-24,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,13.0
2020-07-24,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,720.0
2020-07-24,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,11.0
2020-07-25,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,24.0
