"","week","ac_week","season","ili","inf_A","inf_B","inf_all","inf_neg","inf_H3N2","inf_H1N1","inf_A_ns","num_spec","pn","pn_lb","pn_ub","pp","pp_lb","pp_ub","pA","pA_lb","pA_ub","pB","pB_lb","pB_ub","pH3","pH3_lb","pH3_ub","pH1","pH1_lb","pH1_ub"
"151",2021-09-13,1,1,35872,14,18,32,62951,1,1,12,62983,0.999491926392836,0.999273573881437,0.999646644591415,0.000508073607163838,0.000353355408584795,0.00072642611856274,0.000222282203134179,0.000126508360049106,0.000383038910565605,0.000285791404029659,0.000174651559259085,0.000461456515059088,0.000112363782401176,4.40805818728705e-06,0.000256061489443892,0.000107008093342768,5.57866969264418e-06,0.000255162669512105
"152",2022-08-08,1,1,28923,316,29,345,67214,84,1,231,67559,0.994893352477094,0.994319225484764,0.995410428771755,0.0051066475229059,0.00458957122824474,0.00568077451523596,0.00467739309344425,0.00418329857344493,0.00522862227651104,0.000429254429461656,0.00029283441072893,0.000625131514168809,0.0046237853400852,0.00412458210893369,0.00512676388330002,5.3521547597392e-05,1.35267294119125e-06,0.000211148434168187
"153",2022-08-15,1,1,31572,303,36,339,74033,67,6,230,74372,0.995441832947884,0.994924390412467,0.995907387338081,0.00455816705211639,0.00409261266191898,0.00507560958753311,0.00407411391383854,0.00363487948593248,0.00456532789205354,0.000484053138277846,0.000344046437681952,0.000677824876303208,0.00374473606681264,0.0032674553493768,0.00417994868447473,0.000330272994699149,0.000132345891759456,0.000640609253644697
"154",2022-08-22,1,1,35788,395,43,438,75667,77,11,307,76105,0.99424479337757,0.993674982129227,0.994764103120195,0.00575520662242954,0.00523589687980532,0.00632501787077323,0.00519019775310426,0.00469781723123162,0.00573316959594177,0.000565008869325274,0.000413924290272506,0.000768450026685551,0.00454119248364194,0.00395522756593026,0.00509769592684976,0.000644429383570835,0.000343902802487299,0.0010665141525585
"155",2022-08-29,1,1,37529,422,39,461,76007,71,8,343,76468,0.993971334414396,0.99339047658617,0.994501973466425,0.00602866558560444,0.00549802653357472,0.00660952341383024,0.00551864832348172,0.00501160769938003,0.00607598608132698,0.000510017262122718,0.000367609205322946,0.00070463341759435,0.00494619434180814,0.00435240747696144,0.00558344977618559,0.000561687053920936,0.000243751403958071,0.000951944054781299
"156",2022-09-05,1,1,38334,519,22,541,70787,72,8,439,71329,0.992415427105385,0.991744384383442,0.993032850740359,0.00758457289461509,0.00696714925964138,0.00825561561655801,0.00727614294326291,0.00667171270968669,0.0079342379777598,0.000308429951352185,0.000198132248448851,0.000475412933297749,0.00654525625132295,0.00582534669027861,0.00722649988412986,0.000730323508975594,0.000314353295203513,0.0013193414393037
"157",2023-08-07,1,1,29301,241,160,401,37265,5,45,191,37666,0.989353793872458,0.988252385978489,0.990354119320929,0.0106462061275421,0.00964588067907059,0.0117476140215114,0.00639834333351033,0.00562948634396058,0.00726952872372395,0.00424786279403175,0.00362745340722773,0.00497142026074029,0.000642965888246495,0.000208787137811358,0.00126641061794492,0.00578459729597939,0.00487668707721124,0.00660468057673212
"158",2023-08-14,1,1,33648,282,168,450,41411,13,53,216,41861,0.989250137359356,0.988203919460842,0.990205485020225,0.010749862640644,0.00979451497977464,0.0117960805391582,0.00673658058813693,0.00598571590029732,0.00757934504353863,0.00401328205250711,0.0034404182487217,0.00467895790693714,0.00133142664395572,0.000724943681362649,0.00204996266582762,0.00539767002080739,0.00454803240745163,0.00629994796245641
"159",2023-08-21,1,1,40959,302,164,466,46081,9,57,236,46547,0.989988613659312,0.989031684078459,0.990863714259574,0.0100113863406879,0.00913628574042629,0.0109683159215408,0.00648806582593937,0.00578817589178031,0.00727060440011301,0.00352332051474853,0.00301454624665406,0.0041156654647583,0.000876715263160759,0.000429509661178479,0.00144770439477065,0.00560267005315531,0.00480709982039991,0.00647293390301733
"160",2023-08-28,1,1,44050,343,130,473,54632,10,58,275,55105,0.991416386897741,0.990601699727382,0.992161757721929,0.00858361310225932,0.00783824227807071,0.00939830027261819,0.00622448053715634,0.00559275191327496,0.00692599799341552,0.00235913256510299,0.00197899814040199,0.00281019325425956,0.000913731852321069,0.000470538035187215,0.0014923159305234,0.00532138435374771,0.00455559130649421,0.00606313839543982
"161",2023-09-04,1,1,44396,354,154,508,57225,8,65,281,57733,0.991200872984255,0.990396692549154,0.991938947990246,0.0087991270157449,0.00806105200975396,0.00960330745084653,0.00613167512514506,0.00551871363317106,0.00681124719821729,0.00266745189059983,0.00227054490117927,0.00313189588300857,0.000668863453274799,0.000291063781683718,0.00122715296602815,0.00545747756088655,0.00479391227925539,0.00621452300571246
"162",2010-01-04,1,1,14325,358,8,366,0,0,266,92,9600,0.961875,0.957801309221478,0.965574181348849,0.038125,0.034425818651151,0.0421986907785223,0.0372916666666667,0.0336332340869936,0.0413253378784737,0.000833333333333333,0.000387533911277551,0.00171251583869263,0,0,0,0.037259923275551,0.0336467938155117,0.0411413801985271
"163",2010-01-11,1,1,13908,384,12,396,0,2,262,120,8678,0.954367365752477,0.9497117656874,0.958615607783904,0.0456326342475225,0.041384392216096,0.0502882343126,0.0442498271491127,0.0400660398228397,0.0488422901172646,0.00138280709840977,0.000749430560187389,0.00248872394607849,0.000344977196130434,4.17960827927181e-05,0.000901257335812957,0.0438077327920159,0.039711915000879,0.0483348870980666
"164",2010-01-18,1,1,14441,444,3,447,0,1,317,126,8626,0.94817992116856,0.943239042543508,0.952716858528132,0.0518200788314398,0.0472831414718676,0.0567609574564921,0.0514722930674704,0.0469503655040858,0.0563984910774797,0.000347785763969395,8.98249693416668e-05,0.00110771804827253,0.000169479943975666,5.52117958278824e-06,0.000574505052470606,0.05133658652885,0.0468340530315405,0.0561822753100795
"165",2010-01-25,1,1,14797,393,9,402,0,3,268,122,8622,0.953375086986778,0.948658743443545,0.957682360089273,0.046624913013222,0.0423176399107273,0.0513412565564555,0.0455810716771051,0.0413219065863532,0.0502503059596469,0.00104384133611691,0.0005095155459306,0.00205853168599055,0.000502893734059252,9.6039477904302e-05,0.00120344904460007,0.0451195244974121,0.0410821794571216,0.0497573068298943
"166",2011-01-03,1,1,19944,2070,575,2645,0,1147,328,595,10510,0.748334919124643,0.739900411880106,0.756586917028516,0.251665080875357,0.243413082971484,0.260099588119894,0.196955280685062,0.189416453754509,0.204716940670287,0.054709800190295,0.0504767469935351,0.0592718035290019,0.152972449101072,0.146333251051604,0.159620649480145,0.0436385388127763,0.0394506390403884,0.0480490920839747
"167",2011-01-10,1,1,20738,2429,598,3027,0,1194,546,689,10251,0.704711735440445,0.695756517431499,0.713512736669333,0.295288264559555,0.286487263330667,0.304243482568501,0.236952492439762,0.2287724519043,0.245330775407145,0.0583357721197932,0.0539149509105987,0.0630910419632963,0.162350866190191,0.154398091233775,0.170033452622282,0.0743337469647127,0.068562052815472,0.0807483600594875
"168",2011-01-17,1,1,26148,2987,737,3724,0,1417,816,754,11113,0.664896967515522,0.656020005509879,0.673659384075844,0.335103032484478,0.326340615924156,0.343979994490121,0.268784306667866,0.260578234643878,0.277151045346035,0.0663187258166112,0.0617969670922788,0.0711431170804392,0.170436822795739,0.163386456046772,0.177695102242613,0.0981369457016718,0.0923839365794896,0.104435696668746
"169",2011-01-24,1,1,32003,3474,965,4439,0,1481,1040,953,12929,0.656663315028231,0.648394390039875,0.664838732518434,0.343336684971769,0.335161267481566,0.351605609960125,0.268698275195297,0.261088558979199,0.276446094444159,0.0746384097764715,0.0701960380922824,0.0793356289340457,0.157733690028511,0.151416040669684,0.16462462179343,0.11104377863649,0.105160616597537,0.116885419796978
"170",2011-11-21,1,1,10388,55,20,75,0,23,3,29,4071,0.981577008106116,0.976833130278033,0.985386073197927,0.0184229918938836,0.014613926802073,0.0231668697219669,0.0135101940555146,0.0102877302271064,0.0176814014066855,0.00491279783836895,0.00308612186003763,0.00772507695104327,0.0119424995516974,0.0086920713321547,0.0156720341540812,0.00157450800499129,0.00034580186599593,0.00350739763637105
"171",2011-11-28,1,1,11479,56,17,73,0,32,2,22,4636,0.984253666954271,0.98012852785724,0.987552977848375,0.0157463330457291,0.0124470221516245,0.0198714721427599,0.0120793787748059,0.00922023928803052,0.0157739184349822,0.00366695427092321,0.00220798196469691,0.00599734656443241,0.0114310193896506,0.00843837020077831,0.0146705196319547,0.000726647578167346,9.83683423885953e-05,0.00196251993835181
"172",2011-12-05,1,1,11220,86,20,106,0,38,5,43,4667,0.977287336618813,0.972487343179105,0.981282668468443,0.0227126633811871,0.018717331531557,0.027512656820895,0.0184272551960574,0.0148500064063978,0.022818497633295,0.00428540818512963,0.00269177783115964,0.00673995450135606,0.0162851427069894,0.0124579814351482,0.0201107289216596,0.00211020784957483,0.000663434457478092,0.00413114294239167
"173",2011-12-12,1,1,12137,110,19,129,0,78,4,28,4859,0.973451327433628,0.968432204821757,0.977705469170242,0.0265486725663717,0.0222945308297576,0.0315677951782434,0.0226384029635728,0.0187242115095857,0.0273252628357966,0.00391026960279893,0.00242455461557065,0.0062246097174641,0.0215426681920098,0.017608109676053,0.0260521298022155,0.00113284549137152,0.000292690676784798,0.00242068800111509
"174",2011-12-19,1,1,11957,168,24,192,0,104,7,57,4981,0.961453523388878,0.955634983793251,0.96654752552903,0.0385464766111223,0.0334524744709698,0.0443650162067488,0.033728167034732,0.0289699910550734,0.0392193340280353,0.00481830957639028,0.00315942782027964,0.00727945622373543,0.031484027244611,0.02653266511874,0.0363228980199988,0.00209578453216157,0.000851591756363115,0.00386389335800719
"175",2011-12-26,1,1,12362,158,17,175,0,107,4,47,5331,0.967173138247983,0.961943236230523,0.971717090191278,0.0328268617520165,0.0282829098087223,0.0380567637694773,0.029637966610392,0.0253266100728358,0.0346406228349628,0.00318889514162446,0.00191999855712738,0.00521640709218424,0.028501816547302,0.0243975669514709,0.0332603064075302,0.00107318134703429,0.000282846743887963,0.00232002096871777
"176",2012-01-02,1,1,11990,155,22,177,0,101,16,38,5558,0.968154012234617,0.963108529727765,0.972540237053374,0.0318459877653832,0.0274597629466257,0.0368914702722353,0.0278877293990644,0.0237912364154988,0.0326498909427266,0.00395825836631882,0.00254397932500836,0.00609430258184723,0.0241003499606569,0.019814780931378,0.0282529012857037,0.00380257158072673,0.00223836517079988,0.00592524447900615
"177",2012-01-09,1,1,11545,214,15,229,0,138,31,45,5276,0.956595905989386,0.950657000098392,0.961858973244821,0.0434040940106141,0.0381410267551787,0.0493429999016078,0.0405610310841547,0.0354749650306637,0.0463275207589959,0.00284306292645944,0.00165235153121548,0.0048034711416958,0.0331300952358403,0.0284844374085827,0.038549206063854,0.0074462479717854,0.00490583325077372,0.0102966268444291
"178",2012-01-16,1,1,11939,295,17,312,0,195,50,50,5259,0.940673131774102,0.933861204118901,0.946832182253774,0.0593268682258985,0.0531678177462264,0.0661387958810991,0.0560943145084617,0.0501031090427519,0.0627434421792832,0.00323255371743677,0.00194629691991417,0.00528773769245794,0.0448143995114247,0.038972393437304,0.0502589143808709,0.0114243182105424,0.00871220635768115,0.0148995932176291
"179",2012-01-23,1,1,13219,436,30,466,0,256,84,96,5775,0.919307359307359,0.911910914246801,0.926139475754927,0.0806926406926407,0.0738605242450725,0.0880890857531991,0.0754978354978355,0.0688796423409941,0.0826875631004624,0.00519480519480519,0.0035699716974485,0.00750771543216615,0.0569350757704905,0.0504023758434753,0.0629808545361969,0.0186857942044741,0.0150077986838762,0.0226864449634169
"180",2012-11-19,1,1,14413,1006,362,1368,0,592,8,406,7115,0.807730147575545,0.798336626726474,0.816789006965152,0.192269852424455,0.183210993034848,0.201663373273526,0.141391426563598,0.133420266330956,0.149752968007299,0.0508784258608573,0.0459434150573531,0.0563048069637854,0.139527455553843,0.131944109504863,0.147730133079015,0.00188030864156858,0.000818038994106313,0.00337841982873293
"181",2012-11-26,1,1,18546,1541,497,2038,0,992,17,532,8884,0.770598829356146,0.761683064596655,0.779279175024175,0.229401170643854,0.220720824975825,0.238316935403345,0.173457901846015,0.165670626814541,0.181529466637034,0.0559432687978388,0.0512996011354068,0.0609753086201565,0.170674728678448,0.16297911217849,0.178061835021634,0.00288791273413077,0.00171554135800061,0.00449164086333669
